eth_type,eth_src,eth_dst,protocol,ip_src,ip_dst,ip_proto,ip_src_port,ip_dst_port,occurrences,capfiles
0x8892,28:63:36:79:aa:b4,01:0e:cf:00:00:00,PN_DCP,0.0.0.0,0.0.0.0,0,0,0,54,PCAP CPU REM_IO Startup.pcapng; PCAP CPU powerdip.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP CPU_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP Download Program.pcapng
0x8892,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,PN_DCP,0.0.0.0,0.0.0.0,0,0,0,16,PCAP CPU REM_IO Startup.pcapng; PCAP CPU powerdip.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP CPU_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP Download Program.pcapng
0x8892,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,PN_DCP,0.0.0.0,0.0.0.0,0,0,0,4,PCAP CPU powerdip.pcapng; PCAP CPU REM_IO Startup.pcapng; PCAP CPU_Disconnect.pcapng; PCAP Download Program.pcapng
0x0806,28:63:36:79:aa:b4,ff:ff:ff:ff:ff:ff,ARP,192.168.0.10,192.168.0.15,0,0,0,24,PCAP CPU powerdip.pcapng; PCAP CPU REM_IO Startup.pcapng; PCAP CPU_Disconnect.pcapng; PCAP Download Program.pcapng
0x0806,28:63:36:79:aa:b4,ff:ff:ff:ff:ff:ff,ARP,192.168.0.10,192.168.0.20,0,0,0,33,PCAP CPU REM_IO Startup.pcapng; PCAP CPU powerdip.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP CPU_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP Download Program.pcapng
0x0806,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,ARP,192.168.0.20,192.168.0.10,0,0,0,18,PCAP CPU REM_IO Startup.pcapng; PCAP CPU powerdip.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP CPU_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP Download Program.pcapng
0x0806,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,ARP,192.168.0.15,192.168.0.10,0,0,0,8,PCAP CPU powerdip.pcapng; PCAP CPU REM_IO Startup.pcapng; PCAP CPU_Disconnect.pcapng; PCAP Download Program.pcapng
0x0800,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,PN_IO_DEVICE,192.168.0.10,192.168.0.20,17,0,0,36,PCAP CPU REM_IO Startup.pcapng; PCAP CPU powerdip.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP CPU_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP Download Program.pcapng
0x0800,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,PN_IO_DEVICE,192.168.0.10,192.168.0.15,17,0,0,12,PCAP CPU powerdip.pcapng; PCAP CPU REM_IO Startup.pcapng; PCAP CPU_Disconnect.pcapng; PCAP Download Program.pcapng
0x8892,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,DATA,0.0.0.0,0.0.0.0,0,0,0,58300,PCAP CPU REM_IO Startup.pcapng; PCAP CPU powerdip.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP CPU_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP Download Program.pcapng
